_id,title,content_url,source_url_digest,cover,p_date,read_num,like_num,comment_num,reward_num,author,c_date,u_date
ObjectId(5f29736bef3c5d8dfcefd84b),她践行“浸入式教学” 让会计课堂更接地气,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567811&idx=1&sn=e4a2e9622f357c7354bc45c2a3d27b6c&chksm=8482b718b3f53e0e94d70d15935aa44486e8e9658925427e3cf23f4ba45d3318fb96237a3338&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBFF3ibGUALiclOsicUjdSXejd42wkynvtocNbYc2EC2zGmPXMqyfiaeyY8Nm0qzZ4xWBDWXoic0zRuT23Q/0?wx_fmt=jpeg,2020-07-31T15:43:58.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:43.199Z,2020-08-04T23:01:19.712Z
ObjectId(5f29736bef3c5d8dfcefd84c),赵春燕：带你和数学谈场恋爱,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567810&idx=1&sn=d621c351a26f8d740e680049ddb5abf7&chksm=8482b719b3f53e0fb510a736d8424350d17d76662938a638de0bcc556bb331a91f7cb15cd944&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBHS7QwJibUZvlvr0Jx5HxMCqVz1jBL4ffudqEicGBk5gMWic43rM0xhibct2XGWyqVmRorKzibPMSEny2A/0?wx_fmt=jpeg,2020-07-29T14:47:30.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:43.214Z,2020-08-04T23:01:20.954Z
ObjectId(5f29736bef3c5d8dfcefd84d),实现蜕变！学长学姐喊你报川大锦江,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567790&idx=1&sn=c65f6d5815ecac50c7ddca7f7fefd6cf&chksm=8482b6f5b3f53fe315f671a81537d476dd1062c10aee1686736aaf027549f8f8e0f45cb219a5&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBFF3ibGUALiclOsicUjdSXejd4J5dHYa535H0BiaR8KOwhYUxJW4pSmnrpf1VniaBtnDSbjJCZ8c1kNfibA/0?wx_fmt=jpeg,2020-07-27T10:49:32.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:43.215Z,2020-08-04T23:01:22.191Z
ObjectId(5f29736bef3c5d8dfcefd84e),选我没错！川大锦江拍了拍你,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567742&idx=1&sn=c1e80723b9982b85e825e1070dff2cf3&chksm=8482b6a5b3f53fb3970b3b3701415037bf633b06da98d2dc4c63d476e9a5ce7bd8762d5b27a0&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBEiczd2Ef7K8rOJMkpKibB0BCuaBfpK21XCV4CmnZU3X84mwj7pQSVoFpeGng8fCwyzgo7n1ylfnmZw/0?wx_fmt=jpeg,2020-07-25T15:07:30.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:43.217Z,2020-08-04T23:01:23.422Z
ObjectId(5f29736bef3c5d8dfcefd84f),图书馆2019-2020学年暑期开放事项通知,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567742&idx=2&sn=7dcbbe70bffac44d0ec12c7afb8eddd8&chksm=8482b6a5b3f53fb30602cdaadce23954688bd1985812fccbd5cac347fb886687ae5538bf6ec8&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBHr24cibyxmMpd6jcCjdYQ3hia0vEjDbnUfGhCtpVoJ3fSHG6FT4FXrgJcreqhvrfKJrFvNZXTQGUSg/0?wx_fmt=jpeg,2020-07-25T15:07:30.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:43.218Z,2020-08-04T23:01:24.651Z
ObjectId(5f29736bef3c5d8dfcefd850),四川省2020年普通高校招生各批次录取控制分数线出炉！,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567737&idx=1&sn=c28ba144a9c1cd3913391749fd4c9d56&chksm=8482b6a2b3f53fb404581682e638334a5b30b0e235b983ecfbaa6c3a27ed21b3ab27460b34f3&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBHOeQ5Jan644QcPnzcurDz90uaPMWgrrHJUO22xcSw8f0YwG2fLDmNrJdTotXgIsHyicdVNzNdEOIw/0?wx_fmt=jpeg,2020-07-24T00:03:55.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:43.219Z,2020-08-04T23:01:25.880Z
ObjectId(5f29736bef3c5d8dfcefd851),过瘾！麻辣川大锦江！你选择的十大理由,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567706&idx=1&sn=b6f527ebbb358d3c69cddbd5e30f3e92&chksm=8482b681b3f53f97c2515eaeeb96e3668d59a775adc11f1dd85d30320ade8cf0e1bb15115853&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBGJ37tEibdm77a1hzX113jibcQJmowEhnx9z554Jvk2CTRnFKZZcVOZJwVsCwklW70yZ29uLia3gJn5A/0?wx_fmt=jpeg,2020-07-23T09:59:06.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:43.220Z,2020-08-04T23:01:27.105Z
ObjectId(5f29736bef3c5d8dfcefd852),四川大学锦江学院7月20日-8月5日咨询会安排,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567668&idx=1&sn=862960bc5742bb6507026273a10410a9&chksm=8482b66fb3f53f7962b390c777bdba6e2324bdde529ddbd65ea45e0746605bdec12c4b48243e&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBEiczd2Ef7K8rOJMkpKibB0BCFbDgaKqU6ba3WbCFNbT7N8ynZ0bDia7ib5iaUCg3nUV1Sv7vZquzw8AGg/0?wx_fmt=jpeg,2020-07-22T16:11:41.000Z,4322,23,0,0,,2020-08-04T22:40:43.221Z,2020-08-04T23:01:28.333Z
ObjectId(5f29736bef3c5d8dfcefd853),小江「直播」首秀！川大锦江「爆款」带你看,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567613&idx=1&sn=304b4d547a734aeb2e6b32dac1050ae5&chksm=8482b626b3f53f309cc30428e8bc63dd63eea7b9bdb6257193c27b090d80e467322cbcd0cdb0&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBHjWHhYFohWhJdls5gZSeeQKiaBLVnXVMqwXxM4I28aTSfyroUCcmH3aVzJfrEaHZ3bIUHp5Ha5uxA/0?wx_fmt=jpeg,2020-07-21T09:46:54.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:43.222Z,2020-08-04T23:01:29.580Z
ObjectId(5f29736bef3c5d8dfcefd854),攻略丨暑假校外访问图书馆数据库必看,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567613&idx=2&sn=c6ef070dacc9157b9225c28418c20ce6&chksm=8482b626b3f53f3022c89bd8208a4a7276bc462d6a8605d384ffed916b1a79ac5ca2c8929fed&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBHS7QwJibUZvlvr0Jx5HxMCqF9RniaoG3kdyFrOrlvePdxzxmFgLRYiaSF85suwRpA6k4Rj0uRCOzM1A/0?wx_fmt=jpeg,2020-07-21T09:46:54.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:43.222Z,2020-08-04T23:01:30.822Z
ObjectId(5f29736eef3c5d8dfcefd855),权威发布丨四川大学锦江学院2020年分省分专业招生计划,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652567579&idx=1&sn=c61ddd431c605cf88a8a987e6ab40d3c&chksm=8482b600b3f53f1659441b807f806a3c42823fe02766282bfafa53bb5afdd41f80aaf2c8c045&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBFO28EqKicaKRhdbQXIibpSSUUXQONSXVd0U5BQ0WnNEPlN8fkIcvdCoNIKLYNCvS7PzJTzdYw9GXAA/0?wx_fmt=jpeg,2020-07-16T16:24:34.000Z,4322,23,0,0,,2020-08-04T22:40:46.491Z,2020-08-04T23:01:32.045Z
ObjectId(5f29736eef3c5d8dfcefd856),2008级校友尹华羽：我为世界做「代购」 丨校友故事,http://mp.weixin.qq.com/s?__biz=MzA3NTY3NjUzMg==&mid=2652565642&idx=1&sn=47067e763e73f3b84fb1fc07633ea5b4&chksm=8482be91b3f5378771c357a57dcf84dbbe74784d4f568993274cc416dc64a8451da4028239e8&scene=27#wechat_redirect,,http://mmbiz.qpic.cn/mmbiz_jpg/lTxxRKoWBBEjZgrxOwJeGHMVwntOfGBnJKS4q0pPAmClsEn0e0zEMMhQJwukM7Sic3aOC6HhHibyZ93yVNPPibt5A/0?wx_fmt=jpeg,2020-07-14T11:01:15.000Z,4322,23,0,0,锦江官微,2020-08-04T22:40:46.492Z,2020-08-04T23:01:33.274Z
